areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-05-06,2177,4432622
overview,United Kingdom,K02000001,2021-05-05,2488,4430445
overview,United Kingdom,K02000001,2021-05-04,2578,4427957
overview,United Kingdom,K02000001,2021-05-03,2156,4425379
overview,United Kingdom,K02000001,2021-05-02,1516,4423223
overview,United Kingdom,K02000001,2021-05-01,1405,4421707
overview,United Kingdom,K02000001,2021-04-30,1749,4420302
overview,United Kingdom,K02000001,2021-04-29,2201,4418553
overview,United Kingdom,K02000001,2021-04-28,2508,4416352
overview,United Kingdom,K02000001,2021-04-27,2181,4413844
overview,United Kingdom,K02000001,2021-04-26,2680,4411663
overview,United Kingdom,K02000001,2021-04-25,2148,4408983
overview,United Kingdom,K02000001,2021-04-24,1519,4406835
overview,United Kingdom,K02000001,2021-04-23,1979,4405316
overview,United Kingdom,K02000001,2021-04-22,2371,4403337
overview,United Kingdom,K02000001,2021-04-21,2690,4400966
overview,United Kingdom,K02000001,2021-04-20,2466,4398276
overview,United Kingdom,K02000001,2021-04-19,2847,4395810
overview,United Kingdom,K02000001,2021-04-18,2618,4392963
overview,United Kingdom,K02000001,2021-04-17,1694,4390345
overview,United Kingdom,K02000001,2021-04-16,2278,4388651
overview,United Kingdom,K02000001,2021-04-15,2318,4386373
overview,United Kingdom,K02000001,2021-04-14,2493,4384055
overview,United Kingdom,K02000001,2021-04-13,2445,4381562
overview,United Kingdom,K02000001,2021-04-12,2881,4379117
overview,United Kingdom,K02000001,2021-04-11,2371,4376236
overview,United Kingdom,K02000001,2021-04-10,2308,4373865
overview,United Kingdom,K02000001,2021-04-09,2852,4371557
overview,United Kingdom,K02000001,2021-04-08,3048,4368705
overview,United Kingdom,K02000001,2021-04-07,3128,4365657
overview,United Kingdom,K02000001,2021-04-06,3139,4362529
overview,United Kingdom,K02000001,2021-04-05,2619,4359390
overview,United Kingdom,K02000001,2021-04-04,2291,4356771
overview,United Kingdom,K02000001,2021-04-03,2389,4354480
overview,United Kingdom,K02000001,2021-04-02,2618,4352091
overview,United Kingdom,K02000001,2021-04-01,3469,4349473
overview,United Kingdom,K02000001,2021-03-31,3754,4346004
overview,United Kingdom,K02000001,2021-03-30,3580,4342250
overview,United Kingdom,K02000001,2021-03-29,3968,4338670
overview,United Kingdom,K02000001,2021-03-28,4642,4334702
overview,United Kingdom,K02000001,2021-03-27,3532,4330060
overview,United Kingdom,K02000001,2021-03-26,4385,4326528
overview,United Kingdom,K02000001,2021-03-25,5391,4322143
overview,United Kingdom,K02000001,2021-03-24,6005,4316752
overview,United Kingdom,K02000001,2021-03-23,5250,4310747
overview,United Kingdom,K02000001,2021-03-22,6196,4305497
overview,United Kingdom,K02000001,2021-03-21,5232,4299301
overview,United Kingdom,K02000001,2021-03-20,4096,4294069
overview,United Kingdom,K02000001,2021-03-19,4991,4289973
overview,United Kingdom,K02000001,2021-03-18,5473,4284982
overview,United Kingdom,K02000001,2021-03-17,5775,4279509
overview,United Kingdom,K02000001,2021-03-16,5674,4273734
overview,United Kingdom,K02000001,2021-03-15,6505,4268060
overview,United Kingdom,K02000001,2021-03-14,4299,4261555
overview,United Kingdom,K02000001,2021-03-13,4241,4257256
overview,United Kingdom,K02000001,2021-03-12,5582,4253015
overview,United Kingdom,K02000001,2021-03-11,5768,4247433
overview,United Kingdom,K02000001,2021-03-10,6030,4241665
overview,United Kingdom,K02000001,2021-03-09,6220,4235635
overview,United Kingdom,K02000001,2021-03-08,6642,4229415
overview,United Kingdom,K02000001,2021-03-07,4271,4222773
overview,United Kingdom,K02000001,2021-03-06,4490,4218502
overview,United Kingdom,K02000001,2021-03-05,5298,4214012
overview,United Kingdom,K02000001,2021-03-04,5717,4208714
overview,United Kingdom,K02000001,2021-03-03,5965,4202997
overview,United Kingdom,K02000001,2021-03-02,6649,4197032
overview,United Kingdom,K02000001,2021-03-01,6878,4190383
overview,United Kingdom,K02000001,2021-02-28,4710,4183505
overview,United Kingdom,K02000001,2021-02-27,4815,4178795
overview,United Kingdom,K02000001,2021-02-26,6568,4173980
overview,United Kingdom,K02000001,2021-02-25,7715,4167412
overview,United Kingdom,K02000001,2021-02-24,8535,4159697
overview,United Kingdom,K02000001,2021-02-23,9385,4151162
overview,United Kingdom,K02000001,2021-02-22,11240,4141777
overview,United Kingdom,K02000001,2021-02-21,7869,4130537
overview,United Kingdom,K02000001,2021-02-20,8049,4122668
overview,United Kingdom,K02000001,2021-02-19,10380,4114619
overview,United Kingdom,K02000001,2021-02-18,11403,4104239
overview,United Kingdom,K02000001,2021-02-17,11562,4092836
overview,United Kingdom,K02000001,2021-02-16,12476,4081274
overview,United Kingdom,K02000001,2021-02-15,14262,4068798
overview,United Kingdom,K02000001,2021-02-14,8753,4054536
overview,United Kingdom,K02000001,2021-02-13,8754,4045783
overview,United Kingdom,K02000001,2021-02-12,12150,4037029
overview,United Kingdom,K02000001,2021-02-11,12739,4024879
overview,United Kingdom,K02000001,2021-02-10,13479,4012140
overview,United Kingdom,K02000001,2021-02-09,13794,3998661
overview,United Kingdom,K02000001,2021-02-08,15694,3984867
overview,United Kingdom,K02000001,2021-02-07,11357,3969173
overview,United Kingdom,K02000001,2021-02-06,11967,3957816
overview,United Kingdom,K02000001,2021-02-05,15843,3945849
overview,United Kingdom,K02000001,2021-02-04,17953,3930006
overview,United Kingdom,K02000001,2021-02-03,19393,3912053
overview,United Kingdom,K02000001,2021-02-02,19753,3892660
overview,United Kingdom,K02000001,2021-02-01,22337,3872907
overview,United Kingdom,K02000001,2021-01-31,15372,3850570
overview,United Kingdom,K02000001,2021-01-30,16667,3835198
overview,United Kingdom,K02000001,2021-01-29,21770,3818531
overview,United Kingdom,K02000001,2021-01-28,24138,3796761
overview,United Kingdom,K02000001,2021-01-27,25668,3772623
overview,United Kingdom,K02000001,2021-01-26,26967,3746955
overview,United Kingdom,K02000001,2021-01-25,29899,3719988
overview,United Kingdom,K02000001,2021-01-24,17158,3690089
overview,United Kingdom,K02000001,2021-01-23,21822,3672931
overview,United Kingdom,K02000001,2021-01-22,29528,3651109
overview,United Kingdom,K02000001,2021-01-21,31661,3621581
overview,United Kingdom,K02000001,2021-01-20,35093,3589920
overview,United Kingdom,K02000001,2021-01-19,39465,3554827
overview,United Kingdom,K02000001,2021-01-18,44764,3515362
overview,United Kingdom,K02000001,2021-01-17,28841,3470598
overview,United Kingdom,K02000001,2021-01-16,30526,3441757
overview,United Kingdom,K02000001,2021-01-15,40404,3411231
overview,United Kingdom,K02000001,2021-01-14,42367,3370827
overview,United Kingdom,K02000001,2021-01-13,45380,3328460
overview,United Kingdom,K02000001,2021-01-12,49375,3283080
overview,United Kingdom,K02000001,2021-01-11,57102,3233705
overview,United Kingdom,K02000001,2021-01-10,36341,3176603
overview,United Kingdom,K02000001,2021-01-09,39082,3140262
overview,United Kingdom,K02000001,2021-01-08,47011,3101180
overview,United Kingdom,K02000001,2021-01-07,51930,3054169
overview,United Kingdom,K02000001,2021-01-06,57381,3002239
overview,United Kingdom,K02000001,2021-01-05,65092,2944858
overview,United Kingdom,K02000001,2021-01-04,76153,2879766
overview,United Kingdom,K02000001,2021-01-03,55169,2803613
overview,United Kingdom,K02000001,2021-01-02,60390,2748444
overview,United Kingdom,K02000001,2021-01-01,31844,2688054
overview,United Kingdom,K02000001,2020-12-31,52799,2656210
overview,United Kingdom,K02000001,2020-12-30,70791,2603411
overview,United Kingdom,K02000001,2020-12-29,81524,2532620
overview,United Kingdom,K02000001,2020-12-28,45604,2451096
overview,United Kingdom,K02000001,2020-12-27,47731,2405492
overview,United Kingdom,K02000001,2020-12-26,40370,2357761
overview,United Kingdom,K02000001,2020-12-25,14178,2317391
overview,United Kingdom,K02000001,2020-12-24,31820,2303213
overview,United Kingdom,K02000001,2020-12-23,42194,2271393
overview,United Kingdom,K02000001,2020-12-22,45661,2229199
overview,United Kingdom,K02000001,2020-12-21,47377,2183538
overview,United Kingdom,K02000001,2020-12-20,32461,2136161
overview,United Kingdom,K02000001,2020-12-19,25147,2103700
overview,United Kingdom,K02000001,2020-12-18,35830,2078553
overview,United Kingdom,K02000001,2020-12-17,33888,2042723
overview,United Kingdom,K02000001,2020-12-16,34926,2008835
overview,United Kingdom,K02000001,2020-12-15,33847,1973909
overview,United Kingdom,K02000001,2020-12-14,34725,1940062
overview,United Kingdom,K02000001,2020-12-13,21981,1905337
overview,United Kingdom,K02000001,2020-12-12,19365,1883356
overview,United Kingdom,K02000001,2020-12-11,24088,1863991
overview,United Kingdom,K02000001,2020-12-10,22613,1839903
overview,United Kingdom,K02000001,2020-12-09,21614,1817290
overview,United Kingdom,K02000001,2020-12-08,20790,1795676
overview,United Kingdom,K02000001,2020-12-07,21336,1774886
overview,United Kingdom,K02000001,2020-12-06,13578,1753550
overview,United Kingdom,K02000001,2020-12-05,12740,1739972
overview,United Kingdom,K02000001,2020-12-04,15656,1727232
overview,United Kingdom,K02000001,2020-12-03,15644,1711576
overview,United Kingdom,K02000001,2020-12-02,16475,1695932
overview,United Kingdom,K02000001,2020-12-01,16458,1679457
overview,United Kingdom,K02000001,2020-11-30,18012,1662999
overview,United Kingdom,K02000001,2020-11-29,10686,1644987
overview,United Kingdom,K02000001,2020-11-28,10968,1634301
overview,United Kingdom,K02000001,2020-11-27,14370,1623333
overview,United Kingdom,K02000001,2020-11-26,14582,1608963
overview,United Kingdom,K02000001,2020-11-25,16620,1594381
overview,United Kingdom,K02000001,2020-11-24,16452,1577761
overview,United Kingdom,K02000001,2020-11-23,18781,1561309
overview,United Kingdom,K02000001,2020-11-22,11739,1542528
overview,United Kingdom,K02000001,2020-11-21,12359,1530789
overview,United Kingdom,K02000001,2020-11-20,16855,1518430
overview,United Kingdom,K02000001,2020-11-19,17759,1501575
overview,United Kingdom,K02000001,2020-11-18,20763,1483816
overview,United Kingdom,K02000001,2020-11-17,23164,1463053
overview,United Kingdom,K02000001,2020-11-16,26579,1439889
overview,United Kingdom,K02000001,2020-11-15,16034,1413310
overview,United Kingdom,K02000001,2020-11-14,18009,1397276
overview,United Kingdom,K02000001,2020-11-13,24045,1379267
overview,United Kingdom,K02000001,2020-11-12,24471,1355222
overview,United Kingdom,K02000001,2020-11-11,27357,1330751
overview,United Kingdom,K02000001,2020-11-10,27412,1303394
overview,United Kingdom,K02000001,2020-11-09,31046,1275982
overview,United Kingdom,K02000001,2020-11-08,19960,1244936
overview,United Kingdom,K02000001,2020-11-07,18528,1224976
overview,United Kingdom,K02000001,2020-11-06,23329,1206448
overview,United Kingdom,K02000001,2020-11-05,23752,1183119
overview,United Kingdom,K02000001,2020-11-04,23680,1159367
overview,United Kingdom,K02000001,2020-11-03,25595,1135687
overview,United Kingdom,K02000001,2020-11-02,31505,1110092
overview,United Kingdom,K02000001,2020-11-01,15757,1078587
overview,United Kingdom,K02000001,2020-10-31,16479,1062830
overview,United Kingdom,K02000001,2020-10-30,22682,1046351
overview,United Kingdom,K02000001,2020-10-29,23356,1023669
overview,United Kingdom,K02000001,2020-10-28,23613,1000313
overview,United Kingdom,K02000001,2020-10-27,24098,976700
overview,United Kingdom,K02000001,2020-10-26,26550,952602
overview,United Kingdom,K02000001,2020-10-25,15724,926052
overview,United Kingdom,K02000001,2020-10-24,16241,910328
overview,United Kingdom,K02000001,2020-10-23,21475,894087
overview,United Kingdom,K02000001,2020-10-22,23248,872612
overview,United Kingdom,K02000001,2020-10-21,25450,849364
overview,United Kingdom,K02000001,2020-10-20,25326,823914
overview,United Kingdom,K02000001,2020-10-19,25611,798588
overview,United Kingdom,K02000001,2020-10-18,14192,772977
overview,United Kingdom,K02000001,2020-10-17,14766,758785
overview,United Kingdom,K02000001,2020-10-16,17724,744019
overview,United Kingdom,K02000001,2020-10-15,18437,726295
