areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-05-05,1144,4428553
overview,United Kingdom,K02000001,2021-05-04,2277,4427409
overview,United Kingdom,K02000001,2021-05-03,2074,4425132
overview,United Kingdom,K02000001,2021-05-02,1476,4423058
overview,United Kingdom,K02000001,2021-05-01,1356,4421582
overview,United Kingdom,K02000001,2021-04-30,1723,4420226
overview,United Kingdom,K02000001,2021-04-29,2195,4418503
overview,United Kingdom,K02000001,2021-04-28,2506,4416308
overview,United Kingdom,K02000001,2021-04-27,2181,4413802
overview,United Kingdom,K02000001,2021-04-26,2679,4411621
overview,United Kingdom,K02000001,2021-04-25,2149,4408942
overview,United Kingdom,K02000001,2021-04-24,1518,4406793
overview,United Kingdom,K02000001,2021-04-23,1978,4405275
overview,United Kingdom,K02000001,2021-04-22,2371,4403297
overview,United Kingdom,K02000001,2021-04-21,2689,4400926
overview,United Kingdom,K02000001,2021-04-20,2466,4398237
overview,United Kingdom,K02000001,2021-04-19,2846,4395771
overview,United Kingdom,K02000001,2021-04-18,2620,4392925
overview,United Kingdom,K02000001,2021-04-17,1692,4390305
overview,United Kingdom,K02000001,2021-04-16,2278,4388613
overview,United Kingdom,K02000001,2021-04-15,2317,4386335
overview,United Kingdom,K02000001,2021-04-14,2493,4384018
overview,United Kingdom,K02000001,2021-04-13,2446,4381525
overview,United Kingdom,K02000001,2021-04-12,2881,4379079
overview,United Kingdom,K02000001,2021-04-11,2372,4376198
overview,United Kingdom,K02000001,2021-04-10,2309,4373826
overview,United Kingdom,K02000001,2021-04-09,2851,4371517
overview,United Kingdom,K02000001,2021-04-08,3046,4368666
overview,United Kingdom,K02000001,2021-04-07,3127,4365620
overview,United Kingdom,K02000001,2021-04-06,3140,4362493
overview,United Kingdom,K02000001,2021-04-05,2619,4359353
overview,United Kingdom,K02000001,2021-04-04,2291,4356734
overview,United Kingdom,K02000001,2021-04-03,2384,4354443
overview,United Kingdom,K02000001,2021-04-02,2619,4352059
overview,United Kingdom,K02000001,2021-04-01,3470,4349440
overview,United Kingdom,K02000001,2021-03-31,3744,4345970
overview,United Kingdom,K02000001,2021-03-30,3573,4342226
overview,United Kingdom,K02000001,2021-03-29,3964,4338653
overview,United Kingdom,K02000001,2021-03-28,4639,4334689
overview,United Kingdom,K02000001,2021-03-27,3533,4330050
overview,United Kingdom,K02000001,2021-03-26,4383,4326517
overview,United Kingdom,K02000001,2021-03-25,5393,4322134
overview,United Kingdom,K02000001,2021-03-24,6005,4316741
overview,United Kingdom,K02000001,2021-03-23,5250,4310736
overview,United Kingdom,K02000001,2021-03-22,6196,4305486
overview,United Kingdom,K02000001,2021-03-21,5233,4299290
overview,United Kingdom,K02000001,2021-03-20,4096,4294057
overview,United Kingdom,K02000001,2021-03-19,4991,4289961
overview,United Kingdom,K02000001,2021-03-18,5474,4284970
overview,United Kingdom,K02000001,2021-03-17,5775,4279496
overview,United Kingdom,K02000001,2021-03-16,5672,4273721
overview,United Kingdom,K02000001,2021-03-15,6505,4268049
