areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,2021-05-02,120,463596
overview,United Kingdom,K02000001,2021-05-01,98,463476
overview,United Kingdom,K02000001,2021-04-30,109,463378
overview,United Kingdom,K02000001,2021-04-29,100,463269
overview,United Kingdom,K02000001,2021-04-28,108,463169
overview,United Kingdom,K02000001,2021-04-27,164,463061
overview,United Kingdom,K02000001,2021-04-26,134,462897
overview,United Kingdom,K02000001,2021-04-25,136,462763
overview,United Kingdom,K02000001,2021-04-24,127,462627
overview,United Kingdom,K02000001,2021-04-23,154,462500
overview,United Kingdom,K02000001,2021-04-22,119,462346
overview,United Kingdom,K02000001,2021-04-21,172,462227
overview,United Kingdom,K02000001,2021-04-20,134,462055
overview,United Kingdom,K02000001,2021-04-19,175,461921
overview,United Kingdom,K02000001,2021-04-18,141,461746
overview,United Kingdom,K02000001,2021-04-17,157,461605
overview,United Kingdom,K02000001,2021-04-16,157,461448
overview,United Kingdom,K02000001,2021-04-15,161,461291
overview,United Kingdom,K02000001,2021-04-14,196,461130
overview,United Kingdom,K02000001,2021-04-13,180,460934
overview,United Kingdom,K02000001,2021-04-12,206,460754
overview,United Kingdom,K02000001,2021-04-11,202,460548
overview,United Kingdom,K02000001,2021-04-10,183,460346
overview,United Kingdom,K02000001,2021-04-09,204,460163
overview,United Kingdom,K02000001,2021-04-08,206,459959
overview,United Kingdom,K02000001,2021-04-07,234,459753
overview,United Kingdom,K02000001,2021-04-06,222,459519
overview,United Kingdom,K02000001,2021-04-05,234,459297
overview,United Kingdom,K02000001,2021-04-04,196,459063
overview,United Kingdom,K02000001,2021-04-03,222,458867
overview,United Kingdom,K02000001,2021-04-02,237,458645
overview,United Kingdom,K02000001,2021-04-01,234,458408
overview,United Kingdom,K02000001,2021-03-31,269,458174
overview,United Kingdom,K02000001,2021-03-30,257,457905
overview,United Kingdom,K02000001,2021-03-29,250,457648
overview,United Kingdom,K02000001,2021-03-28,272,457398
overview,United Kingdom,K02000001,2021-03-27,272,457126
overview,United Kingdom,K02000001,2021-03-26,299,456854
overview,United Kingdom,K02000001,2021-03-25,338,456555
overview,United Kingdom,K02000001,2021-03-24,348,456217
overview,United Kingdom,K02000001,2021-03-23,366,455869
overview,United Kingdom,K02000001,2021-03-22,360,455503
overview,United Kingdom,K02000001,2021-03-21,357,455143
overview,United Kingdom,K02000001,2021-03-20,364,454786
overview,United Kingdom,K02000001,2021-03-19,381,454422
overview,United Kingdom,K02000001,2021-03-18,449,454041
overview,United Kingdom,K02000001,2021-03-17,446,453592
overview,United Kingdom,K02000001,2021-03-16,440,453146
overview,United Kingdom,K02000001,2021-03-15,500,452706
overview,United Kingdom,K02000001,2021-03-14,425,452206
overview,United Kingdom,K02000001,2021-03-13,461,451781
overview,United Kingdom,K02000001,2021-03-12,480,451320
overview,United Kingdom,K02000001,2021-03-11,550,450840
overview,United Kingdom,K02000001,2021-03-10,567,450290
overview,United Kingdom,K02000001,2021-03-09,579,449723
overview,United Kingdom,K02000001,2021-03-08,576,449144
overview,United Kingdom,K02000001,2021-03-07,536,448568
overview,United Kingdom,K02000001,2021-03-06,637,448032
overview,United Kingdom,K02000001,2021-03-05,599,447395
overview,United Kingdom,K02000001,2021-03-04,702,446796
overview,United Kingdom,K02000001,2021-03-03,714,446094
overview,United Kingdom,K02000001,2021-03-02,834,445380
overview,United Kingdom,K02000001,2021-03-01,821,444546
overview,United Kingdom,K02000001,2021-02-28,770,443725
overview,United Kingdom,K02000001,2021-02-27,741,442955
overview,United Kingdom,K02000001,2021-02-26,862,442214
overview,United Kingdom,K02000001,2021-02-25,968,441352
overview,United Kingdom,K02000001,2021-02-24,1020,440384
overview,United Kingdom,K02000001,2021-02-23,1119,439364
overview,United Kingdom,K02000001,2021-02-22,1119,438245
overview,United Kingdom,K02000001,2021-02-21,1155,437126
overview,United Kingdom,K02000001,2021-02-20,1087,435971
overview,United Kingdom,K02000001,2021-02-19,1270,434884
overview,United Kingdom,K02000001,2021-02-18,1335,433614
overview,United Kingdom,K02000001,2021-02-17,1408,432279
overview,United Kingdom,K02000001,2021-02-16,1492,430871
overview,United Kingdom,K02000001,2021-02-15,1503,429379
overview,United Kingdom,K02000001,2021-02-14,1534,427876
overview,United Kingdom,K02000001,2021-02-13,1426,426342
overview,United Kingdom,K02000001,2021-02-12,1507,424916
overview,United Kingdom,K02000001,2021-02-11,1678,423409
overview,United Kingdom,K02000001,2021-02-10,1725,421731
overview,United Kingdom,K02000001,2021-02-09,1753,420006
overview,United Kingdom,K02000001,2021-02-08,1919,418253
overview,United Kingdom,K02000001,2021-02-07,1849,416334
overview,United Kingdom,K02000001,2021-02-06,1891,414485
overview,United Kingdom,K02000001,2021-02-05,2005,412594
overview,United Kingdom,K02000001,2021-02-04,2142,410589
overview,United Kingdom,K02000001,2021-02-03,2358,408447
overview,United Kingdom,K02000001,2021-02-02,2479,406089
overview,United Kingdom,K02000001,2021-02-01,2600,403610
overview,United Kingdom,K02000001,2021-01-31,2402,401010
overview,United Kingdom,K02000001,2021-01-30,2471,398608
overview,United Kingdom,K02000001,2021-01-29,2685,396137
overview,United Kingdom,K02000001,2021-01-28,3041,393452
overview,United Kingdom,K02000001,2021-01-27,3058,390411
overview,United Kingdom,K02000001,2021-01-26,3144,387353
overview,United Kingdom,K02000001,2021-01-25,2930,384209
overview,United Kingdom,K02000001,2021-01-24,3110,381279
overview,United Kingdom,K02000001,2021-01-23,3112,378169
overview,United Kingdom,K02000001,2021-01-22,3391,375057
overview,United Kingdom,K02000001,2021-01-21,3632,371666
overview,United Kingdom,K02000001,2021-01-20,4044,368034
overview,United Kingdom,K02000001,2021-01-19,4158,363990
overview,United Kingdom,K02000001,2021-01-18,4063,359832
overview,United Kingdom,K02000001,2021-01-17,3748,355769
overview,United Kingdom,K02000001,2021-01-16,3938,352021
overview,United Kingdom,K02000001,2021-01-15,3675,348083
overview,United Kingdom,K02000001,2021-01-14,4099,344408
overview,United Kingdom,K02000001,2021-01-13,4224,340309
overview,United Kingdom,K02000001,2021-01-12,4577,336085
overview,United Kingdom,K02000001,2021-01-11,4309,331508
overview,United Kingdom,K02000001,2021-01-10,3931,327199
overview,United Kingdom,K02000001,2021-01-09,4126,323268
overview,United Kingdom,K02000001,2021-01-08,3997,319142
overview,United Kingdom,K02000001,2021-01-07,4291,315145
overview,United Kingdom,K02000001,2021-01-06,4394,310854
overview,United Kingdom,K02000001,2021-01-05,4116,306460
overview,United Kingdom,K02000001,2021-01-04,3936,302344
overview,United Kingdom,K02000001,2021-01-03,3648,298408
overview,United Kingdom,K02000001,2021-01-02,3439,294760
overview,United Kingdom,K02000001,2021-01-01,3368,291321
overview,United Kingdom,K02000001,2020-12-31,2915,287953
overview,United Kingdom,K02000001,2020-12-30,3286,285038
overview,United Kingdom,K02000001,2020-12-29,3250,281752
overview,United Kingdom,K02000001,2020-12-28,3131,278502
overview,United Kingdom,K02000001,2020-12-27,2871,275371
overview,United Kingdom,K02000001,2020-12-26,2529,272500
overview,United Kingdom,K02000001,2020-12-25,2182,269971
overview,United Kingdom,K02000001,2020-12-24,2082,267789
overview,United Kingdom,K02000001,2020-12-23,2274,265707
overview,United Kingdom,K02000001,2020-12-22,2478,263433
overview,United Kingdom,K02000001,2020-12-21,2369,260955
overview,United Kingdom,K02000001,2020-12-20,2167,258586
overview,United Kingdom,K02000001,2020-12-19,2044,256419
